1,china-云南
2,china-内蒙古
3,china-台湾
4,china-吉林
5,china-四川
6,china-宁夏
7,china-安徽
8,china-山东
9,china-山西
10,china-广东
11,china-广西
12,china-新疆
13,china-江苏
14,china-江西
15,china-河北
16,china-河南
17,china-浙江
18,china-海南
19,china-湖北
20,china-湖南
21,china-澳门
22,china-甘肃
23,china-福建
24,china-西藏
25,china-贵州
26,china-辽宁
27,china-陕西
28,china-青海
29,china-黑龙江
30,云南-临沧
31,云南-丽江
32,云南-保山
33,云南-大理州
34,云南-德宏州
35,云南-怒江州
36,云南-文山
37,云南-昆明
38,云南-昭通
39,云南-普洱
40,云南-曲靖
41,云南-楚雄州
42,云南-玉溪
43,云南-红河州
44,云南-西双版纳
45,云南-迪庆州
46,内蒙古-乌兰察布
47,内蒙古-乌海
48,内蒙古-兴安盟
49,内蒙古-包头
50,内蒙古-呼伦贝尔
51,内蒙古-呼和浩特
52,内蒙古-巴彦淖尔
53,内蒙古-赤峰
54,内蒙古-通辽
55,内蒙古-鄂尔多斯
56,内蒙古-锡林郭勒盟
57,内蒙古-阿拉善盟
58,吉林-吉林市
59,吉林-四平
60,吉林-延边
61,吉林-松原
62,吉林-白城
63,吉林-白山
64,吉林-辽源
65,吉林-通化
66,吉林-长春
67,四川-乐山
68,四川-内江
69,四川-凉山州
70,四川-南充
71,四川-宜宾
72,四川-巴中
73,四川-广元
74,四川-广安
75,四川-德阳
76,四川-成都
77,四川-攀枝花
78,四川-泸州
79,四川-甘孜州
80,四川-眉山
81,四川-绵阳
82,四川-自贡
83,四川-资阳
84,四川-达州
85,四川-遂宁
86,四川-阿坝州
87,四川-雅安
88,宁夏-中卫
89,宁夏-吴忠
90,宁夏-固原
91,宁夏-石嘴山
92,宁夏-银川
93,安徽-亳州
94,安徽-六安
95,安徽-合肥
96,安徽-安庆
97,安徽-宣城
98,安徽-宿州
99,安徽-巢湖
100,安徽-池州
101,安徽-淮北
102,安徽-淮南
103,安徽-滁州
104,安徽-芜湖
105,安徽-蚌埠
106,安徽-阜阳
107,安徽-马鞍山
108,安徽-黄山
109,山东-东营
110,山东-临沂
111,山东-威海
112,山东-德州
113,山东-日照
114,山东-枣庄
115,山东-泰安
116,山东-济南
117,山东-济宁
118,山东-淄博
119,山东-滨州
120,山东-潍坊
121,山东-烟台
122,山东-聊城
123,山东-莱芜
124,山东-菏泽
125,山东-青岛
126,山西-临汾
127,山西-吕梁
128,山西-大同
129,山西-太原
130,山西-忻州
131,山西-晋中
132,山西-晋城
133,山西-朔州
134,山西-运城
135,山西-长治
136,山西-阳泉
137,广东-东莞
138,广东-中山
139,广东-云浮
140,广东-佛山
141,广东-广州
142,广东-惠州
143,广东-揭阳
144,广东-梅州
145,广东-汕头
146,广东-汕尾
147,广东-江门
148,广东-河源
149,广东-深圳
150,广东-清远
151,广东-湛江
152,广东-潮州
153,广东-珠海
154,广东-肇庆
155,广东-茂名
156,广东-阳江
157,广东-韶关
